,Locations in A,Locations in B,author,coverdate,disc_name,doi,id,jcode,journal,la,no,numMatches,pages,publisher_name,sp,srcHtml,title,topics,ty,vo,year,Decade,Quoted Words,Locations in A with Wordcounts,Wordcounts,paraIndicesIn20
1522,"[[973108, 973452], [1346567, 1346832], [1348963, 1349067]]","[[9623, 9967], [34222, 34486], [34567, 34671]]",['LAURA VORACHEK'],['20000901'],"['Language & Literature', 'Humanities']",10.2307/42827934,796371c7-1672-34e0-8e93-a3580e9fa1c1,['georelioghlstud'],George Eliot - George Henry Lewes Studies,['eng'],['38/39'],4,26-43,['Penn State University Press'],26,"<cite>George Eliot - George Henry Lewes Studies</cite>, No. 38/39, In Memoriam: Professor Jerome Beaty (1924-2000) (September 2000), pp. 26-43","['""THE INSTRUMENT OF THE CENTURY"": THE PIANO AS AN ICON OF FEMALE SEXUALITY IN THE NINETEENTH CENTURY']","['Keyboard music', 'Women', 'Pity', 'Virtuosos', 'Seduction', 'Gossip', 'Aristocracy', 'Sexual self stimulation', 'Ballads', 'Egoism', 'Virginals', 'Convents', 'Sofas', 'Idleness', 'Orgasm', 'Rapture', 'Whiteness studies', 'Penance', 'Epiphanies', 'Art Deco', 'Masculinity', 'Musical instruments', 'Dance halls', 'Biochemical oxygen demand', 'Flatness']",fla,,2000,2000,154,"[[[973108, 973452], 75], [[1346567, 1346832], 58], [[1348963, 1349067], 21]]","[75, 58, 21]",[]
133,"[[399315, 399738], [400613, 400838], [402604, 402726], [408633, 411151]]","[[767, 1188], [1209, 1434], [1588, 1712], [21259, 24157]]","['Hans Ulrich Seeber', 'Sabine Poeschel']",['20000101'],"['Language & Literature', 'Humanities']",10.2307/43028240,6850365f-898c-3cda-90a5-0ea25f795894,['poetica'],Poetica,['ger'],['3/4'],6,443-473,['Wilhelm Fink GmbH & Co. Verlags-KG'],443,"<cite>Poetica</cite>, Vol. 32, No. 3/4 (2000), pp. 443-473","['DOROTHEA BROOKE UND EROTISCHE KUNST IN GEORGE ELIOTS ""MIDDLEMARCH""']","['Krises', 'Geist', 'Fresco', 'Pseudoreligions', 'Pity', 'Leis', 'Draperies', 'Phenomenological reduction', 'Agape', 'Wicker baskets', 'Predicative adjectives', 'Intimate love', 'Colossi', 'Gelato', 'Saris', 'Breathing', 'Auscultation', 'Traditional logic', 'Hyperbole', 'Galactosemias', 'Varuna', 'Mandorlas', 'Pain', 'Contentment', 'Fables']",fla,['32'],2000,2000,652,"[[[399315, 399738], 87], [[400613, 400838], 45], [[402604, 402726], 21], [[408633, 411151], 499]]","[87, 45, 21, 499]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
417,"[[173657, 173756], [292143, 292406]]","[[14718, 14816], [64553, 64816]]",['Thomas Albrecht'],['20060701'],"['Language & Literature', 'Humanities']",10.2307/30030019,5f97e839-43b0-3d35-8fd6-31da94f56373,['elh'],ELH,['eng'],['2'],3,437-463,['Johns Hopkins University Press'],437,"<cite>ELH</cite>, Vol. 73, No. 2 (Summer, 2006), pp. 437-463","['Sympathy and Telepathy: The Problem of Ethics in George Eliot\'s ""The Lifted Veil""']","['Sympathy', 'Misanthropy', 'Egotism', 'Paranormal experiences', 'Narcissism', 'Catachresis', 'Grief work', 'Novella', 'Otherness', 'Veils', 'Mesmerism', 'Pity', 'Visual fixation', 'Aestheticism', 'Castration', 'Alterity', 'Udders', 'Telepathy', 'Avowals', 'Selfishness', 'Vivisection', 'Opacity', 'Literary epigraphs', 'Phrenology', 'Epigrams']",fla,['73'],2006,2000,82,"[[[173657, 173756], 23], [[292143, 292406], 59]]","[23, 59]",[]
4397,"[[409825, 409982], [411163, 412177]]","[[9460, 9617], [9905, 10933]]",['DENIS DONOGHUE'],['20061001'],"['Humanities', 'Language & Literature']",10.2307/40549795,3091d1cd-23a2-37ef-8612-e354cbe377db,['salmagundi'],,['eng'],['152'],4,71-87,['Skidmore College'],71,"<cite>Salmagundi</cite>, No. 152 (Fall 2006), pp. 71-87",['The Not-Quite Said'],"['Pity', 'Potentiality', 'Musical ethos', 'Finitude', 'Civil duty', 'Paraphrase', 'Affection', 'Interiority', 'Opacity', 'Conceptus', 'New taxa', 'Superstitions', 'Stagecraft', 'Insults', 'Fear', 'Writing apprehension', 'Recitations', 'Fables', 'Short pants', 'Torso', 'Poisonous plants', 'Historical necrologies', 'Pencils', 'Parables', 'Novelists']",fla,,2006,2000,253,"[[[409825, 409982], 32], [[411163, 412177], 221]]","[32, 221]","[None, None, None, None, None, 5, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 6, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
111,"[[251414, 251485], [943252, 943695], [1125907, 1126071], [1134948, 1135043], [1459060, 1459222], [1528526, 1528668], [1558145, 1558251]]","[[33384, 33455], [35447, 35889], [38956, 39121], [39431, 39531], [41300, 41462], [41666, 41809], [42114, 42220]]",['Mary Wilson Carpenter'],['20100101'],"['Language & Literature', 'British Studies', 'Area Studies', 'Humanities']",10.2307/25733489,51a3900b-ed28-3637-9e19-63f6daeec224,['victlitcult'],Victorian Literature and Culture,['eng'],['2'],8,511-528,['Cambridge University Press'],511,"<cite>Victorian Literature and Culture</cite>, Vol. 38, No. 2 (2010), pp. 511-528","['MEDICAL COSMOPOLITANISM: ""MIDDLEMARCH"", CHOLERA, AND THE PATHOLOGIES OF ENGLISH MASCULINITY']","['Cholera', 'Cosmopolitanism', 'Diphtheria', 'Fear', 'Septic systems', 'Typhoid', 'Dysentery', 'Pilgrimages', 'Drunkenness', 'Smallpox', 'Breakfasts', 'Fenders', 'Insomnia', 'Blackmail', 'Orphanages', 'Pandemics', 'Closets', 'Teetotalism', 'Migration Period', 'Bubonic plague', 'Breweries', 'Toasts', 'Favoritism', 'Stepsons', 'Panic']",fla,['38'],2010,2010,247,"[[[251414, 251485], 16], [[943252, 943695], 97], [[1125907, 1126071], 32], [[1134948, 1135043], 18], [[1459060, 1459222], 34], [[1528526, 1528668], 30], [[1558145, 1558251], 20]]","[16, 97, 32, 18, 34, 30, 20]",[]
451,"[[428475, 428636], [603705, 603865], [765815, 765969], [776675, 776770], [847303, 847526], [1326622, 1327882]]","[[13702, 13873], [13882, 14042], [14453, 14607], [16050, 16145], [16189, 16412], [17635, 18887]]",['Robert Scholes'],"['19880101', '19880101']","['Language & Literature', 'Humanities']",10.2307/1345484,2785bb56-d7db-34d9-b52c-2134d6fffbd8,['noveforufict'],NOVEL: A Forum on Fiction,['eng'],['2/3'],7,188-196,['Duke University Press'],188,"<cite>NOVEL: A Forum on Fiction</cite>, Vol. 21, No. 2/3, Why the Novel Matters: A Postmodern Perplex Conference Issue (Winter - Spring, 1988), pp. 188-196",['The Novel as Ethical Paradigm?'],"['Divinity', 'Novels', 'Meditation', 'Bridge piers', 'Benevolence', 'Nostalgia', 'Literary epigraphs', 'Capitalism', 'Art Deco', 'Vocation', 'Thunder', 'Allegory', 'Boredom', 'Actuality', 'Neurasthenia', 'Short pants', 'Tree trunks', 'Insults', 'Quarries', 'Rectitude', 'Musical improvisation', 'Warehouses', 'Exhaustion', 'Soul', 'Larceny']",fla,['21'],1988,1980,428,"[[[428475, 428636], 33], [[603705, 603865], 32], [[765815, 765969], 29], [[776675, 776770], 16], [[847303, 847526], 52], [[1326622, 1327882], 266]]","[33, 32, 29, 16, 52, 266]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 29, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]"
129,"[[1858, 1965], [179918, 179995], [230082, 230197], [239810, 239903], [243627, 243751], [250136, 250241], [261590, 261684], [271078, 271183], [271794, 271914], [283931, 284078], [291679, 291861], [291946, 292005], [312072, 312178], [312634, 312871], [318776, 319023], [320798, 320887]]","[[3115, 3222], [8767, 8844], [12543, 12659], [12829, 12922], [13356, 13480], [13728, 13835], [14841, 14935], [17703, 17806], [18029, 18149], [19225, 19371], [21030, 21213], [21320, 21379], [22388, 22494], [22696, 22932], [25633, 26348], [26528, 26615]]",['Stanton Millet'],['19800101'],"['Humanities', 'Language & Literature']",10.2307/27708593,13f9b49e-f630-3fdb-8e0c-d6442b8d2bb6,['jenglgermphil'],,['eng'],['1'],18,32-57,['University of Illinois Press'],32,"<cite>The Journal of English and Germanic Philology</cite>, Vol. 79, No. 1 (Jan., 1980), pp. 32-57","['The Union of ""Miss Brooke"" and ""Middlemarch"": A Study of the Manuscript']","['Parchment', 'Nieces', 'Boredom', 'Vocation', 'Chaplains', 'Hunting songs', 'Breakfasts', 'Widowers', 'Numerals', 'Mottos', 'Family names', 'Fountain pens', 'Occupancy standards', 'Gimbals', 'Shad', 'Affection', 'Eemian age', 'Sapodillas', 'Railroad freight cars', 'Warm hot intergalactic medium', 'Compasses', 'Cotton gins', 'Television cameras', 'Criminal solicitation', 'Remainders']",fla,['79'],1980,1980,431,"[[[1858, 1965], 19], [[179918, 179995], 14], [[230082, 230197], 25], [[239810, 239903], 22], [[243627, 243751], 24], [[250136, 250241], 21], [[261590, 261684], 24], [[271078, 271183], 25], [[271794, 271914], 23], [[283931, 284078], 38], [[291679, 291861], 38], [[291946, 292005], 11], [[312072, 312178], 19], [[312634, 312871], 53], [[318776, 319023], 49], [[320798, 320887], 26]]","[19, 14, 25, 22, 24, 21, 24, 25, 23, 38, 38, 11, 19, 53, 49, 26]",[]
1610,"[[79699, 80220]]","[[5106, 5594]]",['George J. Worth'],['19760701'],"['Humanities', 'Language & Literature']",10.2307/27708062,9e50dd8f-3903-3d9a-a182-fc8480e3560b,['jenglgermphil'],,['eng'],['3'],3,444-446,['University of Illinois Press'],444,"<cite>The Journal of English and Germanic Philology</cite>, Vol. 75, No. 3 (Jul., 1976), pp. 444-446",,"['Annotated bibliographies', 'Allusion', 'Novelists', 'Publishing industry', 'Literary epigraphs', 'Poetry', 'Vertigo', 'Mottos', 'Melting points', 'Teacher retirement', 'Futile medical care', 'Bestiality', 'Confectionery', 'Agility', 'Hierarchical relationships', 'Old wives tales', 'Bass voice', 'Osteoarthritis', 'Warnings', 'Heaven', 'Hand strength', 'Cutlasses', 'Textbooks', 'Rheumatoid arthritis', 'Census data']",brv,['75'],1976,1970,107,"[[[79699, 80220], 107]]",[107],[]
361,"[[124659, 125070]]","[[23228, 23641]]","['John R. Reed', 'Jerry Herron']",['19850901'],"['Language & Literature', 'Humanities']",10.2307/3044589,4090aa85-0397-3871-9e0c-17c382df2da4,['ninecentfict'],Nineteenth-Century Fiction,['eng'],['2'],2,175-186,['University of California Press'],175,"<cite>Nineteenth-Century Fiction</cite>, Vol. 40, No. 2 (Sep., 1985), pp. 175-186","[""George Eliot's Illegitimate Children""]","['Novels', 'Humanity', 'Unwed mothers', 'Irony', 'Anger', 'Ostracism', 'Motherhood', 'Vanity', 'Determinism', 'Baptism', 'Stepfathers', 'Parentage', 'Betrayal', 'Aphorisms', 'Selfishness', 'Seedbeds', 'Love', 'Impotence', 'Obedience', 'Sympathy', 'Volition', 'Genuine progress indicator', 'Ambition', 'Self realization', 'Rill erosion']",fla,['40'],1985,1980,78,"[[[124659, 125070], 78]]",[78],[]
126,"[[12582, 12778], [814511, 814667], [1033297, 1033645], [1034001, 1034069], [1036326, 1036412], [1337775, 1338244], [1338172, 1338267]]","[[3218, 3413], [3971, 4126], [4290, 4636], [4824, 4893], [5905, 5991], [6110, 6574], [6503, 6597]]",['ERNEST FONTANA'],['20070901'],"['Language & Literature', 'Humanities']",10.2307/42827827,ecf70fd6-51b4-312e-8523-86c4abb5529f,['georelioghlstud'],George Eliot - George Henry Lewes Studies,['eng'],['52/53'],9,1-8,['Penn State University Press'],1,"<cite>George Eliot - George Henry Lewes Studies</cite>, No. 52/53 (September 2007), pp. 1-8","['""GENTLEMAN"" AS SIGNIFIER IN ""MIDDLEMARCH""']","['Moral character', 'Cousins', 'Property inheritance', 'Grammatical intensifiers', 'Novelists', 'Semiotic signs', 'Symphonies', 'Teacher dismissal', 'Transgression', 'Codicils', 'Wisdom', 'Commercial law', 'Insults', 'Appeals to authority', 'Surety', 'Syllables', 'Renunciation', 'Locution', 'Ambivalence', 'Handwriting', 'Landowners', 'Rumors', 'Overtrading', 'Antitheses', 'Epithets']",fla,,2007,2000,337,"[[[12582, 12778], 39], [[814511, 814667], 37], [[1033297, 1033645], 79], [[1034001, 1034069], 16], [[1036326, 1036412], 14], [[1337775, 1338244], 126], [[1338172, 1338267], 26]]","[39, 37, 79, 16, 14, 126, 26]",[]
2792,"[[345764, 345855]]","[[2521, 2612]]",['Iona Heath'],['20050423'],"['Health Sciences', 'Medicine and Allied Health']",10.2307/25459494,8f947df7-bccf-302a-b3b4-ac7f449b4f01,['bmjbritmedj'],,['eng'],['7497'],2,954-956,['BMJ'],954,"<cite>BMJ: British Medical Journal</cite>, Vol. 330, No. 7497 (Apr. 23, 2005), pp. 954-956",['Current Controversies: Who Needs Health Care: The Well Or The Sick?'],"['Primary health care', 'Pharmaceutical industry', 'Politicians', 'Political risk', 'Diseases', 'Dementia', 'Female circumcision', 'Skepticism', 'Contentment', 'Life expectancy', 'Distrust', 'Anxiety', 'Lifestyle', 'Medical audits', 'Rhetoric', 'Craving', 'Fate', 'Misery', 'Hospital admissions', 'Tyranny', 'Resignation from office', 'Precautionary principle', 'Conglomerates', 'Glass transition temperature', 'Check kiting']",fla,['330'],2005,2000,16,"[[[345764, 345855], 16]]",[16],[]
2615,"[[1840, 1965], [1792461, 1792705], [1793006, 1793383]]","[[380, 505], [552, 797], [2335, 2713]]",['Miriam Elizabeth Burstein'],['19990801'],"['Language & Literature', 'Humanities']",10.2307/439034,656bcd5c-bfac-30f2-ac76-c112f463ee6a,['modernphilology'],Modern Philology,['eng'],['1'],4,46-75,['University of Chicago Press'],46,"<cite>Modern Philology</cite>, Vol. 97, No. 1 (Aug., 1999), pp. 46-75","[""From Good Looks to Good Thoughts: Popular Women's History and the Invention of Modernity, ca. 1830-1870""]","['Women', 'Narrative history', 'Spiritual love', 'Femininity', 'Humanity', 'Pity', 'Masculinity', 'Passion', 'Subjection', 'Misogyny', 'Periodization', 'Heroism', 'Abolitionism', 'Celebrities', 'Sensationalism', 'Biographers', 'Divine grace', 'Paganism', 'Slavery', 'Perfection', 'Rebirth', 'Spectacle', 'Commodity value', 'Repentance', 'Comets']",fla,['97'],1999,1990,156,"[[[1840, 1965], 23], [[1792461, 1792705], 50], [[1793006, 1793383], 83]]","[23, 50, 83]",[]
